X,Y,id,Country,Province,Prov_code,District_n,Dist_iaa,Pcode_CSO,Dist_code,HASC_code,ID_statoid,Pop2010,Male10,Female10,Source,Shape_Leng,Shape_Area,ISO3V10,shape_le_1,ID_1,Unsdcode,Countryeng,Shape_Le_2,shape_ar_1
2875006.8228037,-1963469.61790823,13,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2858091.43830755,-1950254.19839505,14,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2875207.69827657,-1961267.46967852,15,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2874281.55074187,-1961868.840005,16,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2875200.38720184,-1963906.28415389,17,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2858058.01447249,-1950526.52355203,18,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2874991.68091693,-1961131.14699837,19,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2874696.22160679,-1961388.02800858,20,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2875157.13624167,-1960868.25243096,21,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2875068.11018396,-1961175.84450478,22,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
2875188.85216331,-1964631.63188659,23,Zambia,Southern,ZMB80,Livingstone,Livingstone,ZMB800806,0806,ZM.SO.LI,84.00000,139509.00000,68763.00000,70746.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",1.32988,0.07169,ZWE,41.60000,232,716,Zimbabwe,4509784.27940,389508616601.00000
3002301.53580625,-1950298.64238909,0,Zambia,Southern,ZMB80,Sinazongwe,Sinazongwe,ZMB800811,0811,ZM.SO.SZ,89.00000,101617.00000,49209.00000,52408.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",3.55037,0.43118,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
3082201.53152707,-1856205.54250302,1,Zambia,Southern,ZMB80,Sinazongwe,Sinazongwe,ZMB800811,0811,ZM.SO.SZ,89.00000,101617.00000,49209.00000,52408.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",3.55037,0.43118,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
2985296.45176924,-1960287.69115142,2,Zambia,Southern,ZMB80,Sinazongwe,Sinazongwe,ZMB800811,0811,ZM.SO.SZ,89.00000,101617.00000,49209.00000,52408.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",3.55037,0.43118,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
3037665.9267857,-1873536.9974107,3,Zambia,Southern,ZMB80,Sinazongwe,Sinazongwe,ZMB800811,0811,ZM.SO.SZ,89.00000,101617.00000,49209.00000,52408.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",3.55037,0.43118,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
3015028.50235213,-1937617.82289162,4,Zambia,Southern,ZMB80,Sinazongwe,Sinazongwe,ZMB800811,0811,ZM.SO.SZ,89.00000,101617.00000,49209.00000,52408.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",3.55037,0.43118,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
3014993.38693159,-1930051.71738581,5,Zambia,Southern,ZMB80,Sinazongwe,Sinazongwe,ZMB800811,0811,ZM.SO.SZ,89.00000,101617.00000,49209.00000,52408.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",3.55037,0.43118,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
3039985.71035795,-1874215.83879593,6,Zambia,Southern,ZMB80,Sinazongwe,Sinazongwe,ZMB800811,0811,ZM.SO.SZ,89.00000,101617.00000,49209.00000,52408.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",3.55037,0.43118,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
3008347.56475203,-1921254.07612702,7,Zambia,Southern,ZMB80,Sinazongwe,Sinazongwe,ZMB800811,0811,ZM.SO.SZ,89.00000,101617.00000,49209.00000,52408.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",3.55037,0.43118,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
3041482.80001274,-1902404.73301919,8,Zambia,Southern,ZMB80,Sinazongwe,Sinazongwe,ZMB800811,0811,ZM.SO.SZ,89.00000,101617.00000,49209.00000,52408.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",3.55037,0.43118,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
3058488.92948351,-1860108.53784716,9,Zambia,Southern,ZMB80,Sinazongwe,Sinazongwe,ZMB800811,0811,ZM.SO.SZ,89.00000,101617.00000,49209.00000,52408.00000,"Shapes downloaded from ISCGM website in 2012, Zambia Census 2010 CSO population joined by UN OCHA ROSEA (new code added for new Muchinga Province and Ikelenge District)",3.55037,0.43118,ZMB,86.50000,231,894,Zambia,9496825.90660,743320060002.00000
