date,value
6/9/2015,0.5805
6/8/2015,0.5766
6/5/2015,0.5832
6/4/2015,0.5835
6/3/2015,0.5908
6/2/2015,0.5878
6/1/2015,0.5904
5/29/2015,0.6014
5/28/2015,0.605
5/27/2015,0.5986
5/26/2015,0.5977
5/25/2015,0.5966
5/22/2015,0.5986
5/21/2015,0.5977
5/20/2015,0.5959
5/19/2015,0.6077
5/18/2015,0.6112
5/15/2015,0.613
5/14/2015,0.6099
5/13/2015,0.6125
5/12/2015,0.607
5/11/2015,0.6153
5/8/2015,0.6116
5/7/2015,0.6089
5/6/2015,0.6156
5/5/2015,0.6141
5/4/2015,0.6169
4/30/2015,0.6294
4/29/2015,0.6251
4/28/2015,0.6197
4/24/2015,0.614
4/23/2015,0.5972
4/22/2015,0.6064
4/21/2015,0.6046
4/20/2015,0.6198
4/17/2015,0.6185
4/16/2015,0.6177
4/15/2015,0.5999
4/14/2015,0.5952
4/13/2015,0.5945
4/10/2015,0.616
4/9/2015,0.6283
4/8/2015,0.6106
4/7/2015,0.6395
4/2/2015,0.6337
4/1/2015,0.6309
3/31/2015,0.6192
3/30/2015,0.6277
3/27/2015,0.6344
3/26/2015,0.6408
3/25/2015,0.6496
3/24/2015,0.646
3/23/2015,0.628
3/20/2015,0.632
3/19/2015,0.6228
3/18/2015,0.6015
3/17/2015,0.6008
3/16/2015,0.5935
3/13/2015,0.5939
3/12/2015,0.5959
3/11/2015,0.5809
3/10/2015,0.5833
3/9/2015,0.5821
3/6/2015,0.5925
3/5/2015,0.5916
3/4/2015,0.59
3/3/2015,0.5939
3/2/2015,0.5886
2/27/2015,0.5976
2/26/2015,0.6144
2/25/2015,0.6122
2/24/2015,0.5984
2/23/2015,0.5966
2/20/2015,0.6021
2/19/2015,0.6111
2/18/2015,0.6013
2/17/2015,0.5787
2/16/2015,0.5753
2/13/2015,0.5667
2/12/2015,0.568
2/11/2015,0.5639
2/10/2015,0.5682
2/9/2015,0.5691
2/6/2015,0.5821
2/5/2015,0.575
2/4/2015,0.5772
2/3/2015,0.568
2/2/2015,0.5626
1/30/2015,0.5618
1/29/2015,0.5572
1/28/2015,0.5628
1/27/2015,0.5545
1/26/2015,0.56
1/23/2015,0.5546
1/22/2015,0.5598
1/21/2015,0.5618
1/20/2015,0.5636
1/19/2015,0.5559
1/16/2015,0.5596
1/15/2015,0.5739
1/14/2015,0.5679
1/13/2015,0.5736
1/12/2015,0.566
1/9/2015,0.557
1/8/2015,0.5643
1/7/2015,0.5578
1/6/2015,0.5517
1/5/2015,0.5475
1/2/2015,0.5503
12/31/2014,0.5518
12/30/2014,0.5481
12/29/2014,0.5485
12/24/2014,0.5451
12/23/2014,0.5469
12/22/2014,0.5431
12/19/2014,0.5383
12/18/2014,0.5449
12/17/2014,0.5383
12/15/2014,0.5499
12/12/2014,0.548
12/11/2014,0.5519
12/10/2014,0.5537
12/9/2014,0.5525
12/8/2014,0.5576
12/5/2014,0.5675
12/4/2014,0.5677
12/3/2014,0.571
12/2/2014,0.5768
12/1/2014,0.5682
11/28/2014,0.5702
11/27/2014,0.5768
11/26/2014,0.5799
11/25/2014,0.5711
11/24/2014,0.5785
11/21/2014,0.5794
11/20/2014,0.5723
11/19/2014,0.5767
11/18/2014,0.575
11/17/2014,0.575
11/14/2014,0.5679
11/13/2014,0.5682
11/12/2014,0.5685
11/11/2014,0.5634
11/10/2014,0.5675
11/7/2014,0.5636
11/6/2014,0.569
11/5/2014,0.5735
11/4/2014,0.5762
11/3/2014,0.5738
10/31/2014,0.5825
10/30/2014,0.5843
10/29/2014,0.5934
10/28/2014,0.5817
10/27/2014,0.5808
10/24/2014,0.5798
10/23/2014,0.582
10/22/2014,0.5787
10/21/2014,0.5811
10/20/2014,0.5752
10/17/2014,0.5777
10/16/2014,0.5699
10/15/2014,0.5719
10/14/2014,0.5708
10/13/2014,0.5721
10/10/2014,0.5678
10/9/2014,0.5716
10/8/2014,0.5638
10/7/2014,0.5641
10/6/2014,0.5595
10/3/2014,0.5609
10/2/2014,0.5601
10/1/2014,0.5539
9/30/2014,0.5573
9/29/2014,0.5543
9/26/2014,0.5574
9/25/2014,0.5544
9/23/2014,0.5589
9/22/2014,0.5556
9/19/2014,0.5596
9/18/2014,0.5617
9/17/2014,0.564
9/16/2014,0.5631
9/15/2014,0.5609
9/12/2014,0.5605
9/11/2014,0.5684
9/10/2014,0.5602
9/9/2014,0.5573
9/8/2014,0.5635
9/5/2014,0.5645
9/4/2014,0.5665
9/3/2014,0.5696
9/2/2014,0.5658
9/1/2014,0.5669
8/29/2014,0.5654
8/28/2014,0.5651
8/27/2014,0.5676
8/26/2014,0.5661
8/25/2014,0.5677
8/22/2014,0.5692
8/21/2014,0.5632
8/20/2014,0.5716
8/19/2014,0.5742
8/18/2014,0.5774
8/15/2014,0.5841
8/14/2014,0.5828
8/13/2014,0.5801
8/12/2014,0.5811
8/11/2014,0.5763
8/8/2014,0.5714
8/7/2014,0.5745
8/6/2014,0.5723
8/5/2014,0.579
8/4/2014,0.5766
8/1/2014,0.5732
7/31/2014,0.5749
7/30/2014,0.5816
7/29/2014,0.5808
7/28/2014,0.5816
7/25/2014,0.5811
7/24/2014,0.5817
7/23/2014,0.5821
7/22/2014,0.5753
7/21/2014,0.5775
7/18/2014,0.574
7/17/2014,0.5737
7/16/2014,0.5723
7/15/2014,0.5739
7/14/2014,0.5687
7/11/2014,0.5693
7/10/2014,0.567
7/9/2014,0.5786
7/8/2014,0.5783
7/7/2014,0.5743
7/4/2014,0.5776
7/3/2014,0.5789
7/2/2014,0.5847
7/1/2014,0.5887
6/30/2014,0.5889
6/27/2014,0.5853
6/26/2014,0.5763
6/25/2014,0.57
6/24/2014,0.5747
6/23/2014,0.5721
6/20/2014,0.5676
6/19/2014,0.5749
6/18/2014,0.5741
6/17/2014,0.5739
6/13/2014,0.5807
6/12/2014,0.5897
6/11/2014,0.5891
6/10/2014,0.5964
6/9/2014,0.6074
6/6/2014,0.6145
6/5/2014,0.6209
6/4/2014,0.6307
6/3/2014,0.6049
6/2/2014,0.6567
5/30/2014,0.6608
5/29/2014,0.6577
5/28/2014,0.6949
5/27/2014,0.6729
5/26/2014,0.6656
5/23/2014,0.6556
5/22/2014,0.6502
5/21/2014,0.6368
5/20/2014,0.6414
5/19/2014,0.641
5/16/2014,0.6429
5/15/2014,0.6431
5/14/2014,0.6405
5/13/2014,0.6339
5/12/2014,0.6278
5/9/2014,0.6298
5/8/2014,0.6314
5/6/2014,0.6168
5/5/2014,0.6113
5/2/2014,0.6015
4/30/2014,0.5989
4/29/2014,0.5988
4/25/2014,0.5904
4/24/2014,0.5881
4/23/2014,0.5925
4/22/2014,0.5892
4/17/2014,0.5848
4/16/2014,0.5922
4/15/2014,0.5878
4/14/2014,0.5775
4/11/2014,0.5808
4/10/2014,0.5891
4/9/2014,0.5893
4/8/2014,0.5897
