"DIST","prod","year"
"Kalomo",439929,2007
"Kalulushi",370256.5,2007
"Kaoma",145939,2007
"Kapiri Mposhi",1579535,2007
"Kaputa",107959,2007
"Kasama",384675,2007
"Kasempa",366325,2007
"Katete",415682.25,2007
"Kawambwa",227380.5,2007
"Kazungula",159815.5,2007
"Kitwe",99450,2007
"Livingstone",59540.5,2007
"Luangwa",20022.75,2007
"Luanshya",182389.5,2007
"Lufwanyama",322015,2007
"Lukulu",72022,2007
"Lundazi",913008,2007
"Lusaka urban",84115.5,2007
"Luwingu",167510.5,2007
"Mambwe",283656.275,2007
"Mansa",203467,2007
"Masaiti",555509.5,2007
"Mazabuka",311619,2007
"Mbala",539320.25,2007
"Milenge",67152.5,2007
"Mkushi",535980,2007
"Mongu",44434.25,2007
"Monze",156165.75,2007
"Mpika",451850.5,2007
"Mpongwe",804447.5,2007
"Mporokoso",230130.5,2007
"mpulungu",132468,2007
"Mufulira",150926.5,2007
"Mufumbwe",232619.5,2007
"Mumbwa",771417.5,2007
"Mungwi",105083,2007
"Mwense",56542,2007
"Mwinilunga",106570.75,2007
"Nakonde",390545.75,2007
"Namwala",159379,2007
"Nchelenge",86645.5,2007
"Ndola urban",308294.5,2007
"Nyimba",118148.5,2007
"Petauke",874490.375,2007
"Saivonga",34225,2007
"Samfya",85328,2007
"Senanga",64942,2007
"Serenje",383997.75,2007
"Sesheke",99639.5,2007
"Shangombo",85214.75,2007
"Sinazongwe",40994,2007
"Solwezi",500312.25,2007
"Zambezi",99332,2007
"Chadiza",449985.5,2008
"Chama",136951,2008
"Chavuma",88907.5,2008
"Chibombo",799622,2008
"Chienge",108606.25,2008
"Chililabombwe",333575,2008
"Chilubi",26097.5,2008
"Chingola",154842,2008
"Chinsali",291821,2008
"Chipata",980457.5,2008
"Choma",592089,2008
"Chongwe",398862.45,2008
"Gwembe",176838,2008
"Isoka",406434.5,2008
"Itezhi-tezhi",335458,2008
"Kabompo",146142.25,2008
"Kabwe",305986,2008
"Kafue",478018.5,2008
"Kalabo",57879,2008
"Kalomo",1389059,2008
"Kalulushi",370583.5,2008
"Kaoma",267917,2008
"Kapiri-mposhi",1119353,2008
"Kaputa",72848,2008
"Kasama",482896,2008
"Kasempa",390235.5,2008
"Katete",611688.25,2008
"Kawambwa",264450,2008
"Kazungula",194210,2008
"Kitwe",121770,2008
"Livingstone",88111.75,2008
"Luangwa",62312.25,2008
"Luanshya",245881,2008
"Lufwanyama",400751,2008
"Lukulu",79901.5,2008
"Lundazi",1218318.25,2008
"Lusaka",324612,2008
"Luwingu",254796.975,2008
"Mambwe",293061.75,2008
"Mansa",235560.5,2008
"Masaiti",434512,2008
"Mazabuka",1074110.5,2008
"Mbala",640251.5,2008
"Milenge",75653.625,2008
"Mkushi",562089.5,2008
"Mongu",68490.5,2008
"Monze",724935.5,2008
"Mpika",439771.5,2008
"Mpongwe",727547.5,2008
"Mporokoso",183496.25,2008
"Mpulungu",189087.5,2008
"Mufulira",172681,2008
"Mufumbwe",372854.5,2008
"Mumbwa",675143.5,2008
"Mungwi",200402,2008
"Mwense",78933,2008
"Mwinilunga",91466,2008
"Nakonde",385777.5,2008
"Namwala",558053.25,2008
"Nchelenge",82243,2008
"Ndola",346597,2008
"Nyimba",256830,2008
"Petauke",1039272.5,2008
"Samfya",97636.507,2008
"Senanga",46221,2008
"Serenje",458082,2008
"Sesheke",215550.25,2008
"Shang'ombo",82011.875,2008
"Siavonga",54246.5,2008
"Sinazongwe",253483,2008
"Solwezi",558932,2008
"Zambezi",86790,2008
"Chadiza",648590.5,2009
"Chama",227306.5,2009
"Chavuma",80049,2009
"Chibombo",1538249.5,2009
"Chienge",75960,2009
"Chililabombwe",356664,2009
"Chilubi",63825,2009
"Chingola",263302,2009
"Chinsali",379220.5,2009
"Chipata",1590869,2009
"Choma",854792.5,2009
"Chongwe",564245.5,2009
"Gwembe",156459.5,2009
"Isoka",483803.5,2009
"Itezhi-tezhi",293582.5,2009
"Kabompo",274091,2009
"Kabwe",380706,2009
"Kafue",1029404.5,2009
"Kalabo",87775,2009
"Kalomo",2088933,2009
"Kalulushi",518650,2009
"Kaoma",559672,2009
"Kapiri-Mposhi",1268089,2009
"Kaputa",80532,2009
"Kasama",489147,2009
"Kasempa",531461.5,2009
"Katete",815944.5,2009
"Kawambwa",301151,2009
"Kazungula",526446,2009
"Kitwe",154845,2009
"Livingstone",142886,2009
"Luangwa",31954,2009
"Luanshya",151814.5,2009
"Lufwanyama",514369,2009
"Lukulu",58605,2009
"Lundazi",1296640.5,2009
"Lusaka",531192.5,2009
"Luwingu",230065,2009
"Mambwe",316680.75,2009
"Mansa",277303.5,2009
"Masaiti",786400,2009
"Mazabuka",1117067.5,2009
"Mbala",687745,2009
"Milenge",115964.5,2009
"Mkushi",747730,2009
"Mongu",120805.75,2009
"Monze",1099110.5,2009
"Mpika",613035,2009
"Mpongwe",925985.5,2009
"Mporokoso",176555,2009
"Mpulungu",177499,2009
"Mufulira",201667,2009
"Mufumbwe",396591.5,2009
